DTC,Description
P0606,INTERNAL CONTROL PROCESSOR
P0607,ECU INTERNAL PERFORMANCE
P060A,INTERNAL CONTROL MODULE MONITORING PROCESSOR PERFORMANCE
P060B,ETC A/D GROUND PERFORMANCE
P060C,INTERNAL CONTROL MODULE MAIN PROCESSOR PERFORMANCE
P060D,ETC LEVEL 2 APP PERFORMANCE
P060E,ETC LEVEL 2 TPS PERFORMANCE
P060F,ETC LEVEL 2 ECT PERFORMANCE
P061A,LEVEL 2 TORQUE PERFORMANCE
P061C,ETC LEVEL 2 RPM PERFORMANCE
P0627,FUEL PUMP CONTROL CIRCUIT OPEN
P0628,FUEL PUMP CONTROL CIRCUIT LOW
P0629,FUEL PUMP CONTROL CIRCUIT HIGH
P062A,FUEL PUMP CONTROL PERFORMANCE
P062C,ETC LEVEL 2 MPH PERFORMANCE
P062F,INTERNAL CONTROL MODULE EEPROM ERROR
P0630,VIN NOT PROGRAMMED IN PCM
P0632,ODOMETER NOT PROGRAMMED IN PCM
P0633,SKIM SECRET KEY NOT STORED IN PCM
P0642,SENSOR REFERENCE VOLTAGE 1 CIRCUIT LOW
P0643,SENSOR REFERENCE VOLTAGE 1 CIRCUIT HIGH
P064A,FUEL PUMP CONTROL MODULE
P0652,SENSOR REFERENCE VOLTAGE 2 CIRCUIT LOW
P0653,SENSOR REFERENCE VOLTAGE 2 CIRCUIT HIGH
P0685,ASD/MAIN CONTROL CIRCUIT
P0688,AUTO SHUTDOWN RELAY SENSE CIRCUIT LOW
P06DA,ENGINE OIL PRESSURE CONTROL CIRCUIT
P06DD,ENGINE OIL PRESSURE CONTROL CIRCUIT STUCK OFF
P06DE,ENGINE OIL PRESSURE CONTROL CIRCUIT STUCK ON
P06E4,CONTROL MODULE WAKE UP CIRCUIT PERFORMANCE
P0705,"TRANSMISSION RANGE SENSOR ""A"" CIRCUIT (PRNDL INPUT)"
P0814,TRANSMISSION RANGE DISPLAY CIRCUIT
P0815,UPSHIFT SWITCH
P0816,DOWNSHIFT SWITCH
P0826,UP/DOWN SHIFT SWITCH
P0850,PARK/NEUTRAL SWITCH PERFORMANCE
P0919,GEAR SHIFT POSITION CONTROL ERROR
P0928,BTSI CONTROL
P0A0A,HIGH VOLTAGE SYSTEM INTERLOCK CIRCUIT A
P0A0C,HIGH VOLTAGE SYSTEM INTERLOCK CIRCUIT A LOW
P0A0D,HIGH VOLTAGE SYSTEM INTERLOCK CIRCUIT A HIGH
P0A7F,HYBRID/EV BATTERY PACK DETERIORATION
P0A95,HIGH VOLTAGE FUSE A
P0A9C,HYBRID EV BATTERY TEMPERATURE SENSOR 1- CIRCUIT PERFORMANCE
P0A9D,HYBRID EV BATTERY TEMPERATURE SENSOR 1 - CIRCUIT LOW
P0A9E,HYBRID EV BATTERY TEMPERATURE SENSOR 1 - CIRCUIT HIGH
P0AA1,HYBRID BATTERY POSITIVE CONTACTOR CIRCUIT STUCK CLOSED
P0AA2,HYBRID EV BATTERY POSITIVE CONTACTOR CIRCUIT STUCK OPEN
P0AA4,HYBRID BATTERY NEGATIVE CONTACTOR CIRCUIT STUCK CLOSED
P0AA5,HYBRID EV BATTERY NEGATIVE CONTACTOR CIRCUIT STUCK OPEN
P0AA6,HYBRID BATTERY VOLTAGE SYSTEM ISOLATION FAULT
P0AA7,HYBRID EV BATTERY VOLTAGE ISOLATION SENSOR CIRCUIT
P0ABA,HYBRID EV BATTERY PACK VOLTAGE SENSE A CIRCUIT
P0ABB,HYBRID EV BATTERY PACK VOLTAGE SENSE A CIRCUIT RANGE/PERFORMANCE
P0AC0,HYBRID BATTERY PACK CURRENT SENSOR 1 CIRCUIT PERFORMANCE
P0AC1,HYBRID BATTERY PACK CURRENT SENSOR 1 CIRCUIT LOW
P0AC2,HYBRID BATTERY PACK CURRENT SENSOR 1 CIRCUIT HIGH
P0AC6,HYBRID EV BATTERY TEMPERATURE SENSOR 2 CIRCUIT PERFORMANCE
P0AC7,HYBRID EV BATTERY TEMPERATURE SENSOR 2 CIRCUIT LOW
P0AC8,HYBRID EV BATTERY TEMPERATURE SENSOR 2 CIRCUIT HIGH
P0ACB,HYBRID EV BATTERY TEMPERATURE SENSOR 3 CIRCUIT PERFORMANCE
P0ACC,HYBRID EV BATTERY TEMPERATURE SENSOR 3 CIRCUIT LOW
P0ACD,HYBRID EV BATTERY TEMPERATURE SENSOR 3 CIRCUIT HIGH
P0ADB,HYBRID BATTERY POSITIVE CONTACTOR CONTROL CIRCUIT LOW
P0ADC,HYBRID BATTERY POSITIVE CONTACTOR CONTROL CIRCUIT HIGH
P0ADF,HYBRID BATTERY NEGATIVE CONTACTOR CONTROL CIRCUIT LOW
P0AE0,HYBRID BATTERY NEGATIVE CONTACTOR CONTROL CIRCUIT HIGH
P0AE6,HYBRID BATTERY PRECHARGE CONTACTOR CONTROL CIRCUIT LOW
P0AE7,HYBRID BATTERY PRECHARGE CONTACTOR CONTROL CIRCUIT HIGH
P0AE9,HYBRID EV BATTERY TEMPERATURE SENSOR 4 CIRCUIT PERFORMANCE
P0AEA,HYBRID EV BATTERY TEMPERATURE SENSOR 4 CIRCUIT LOW
P0AEB,HYBRID EV BATTERY TEMPERATURE SENSOR 4 CIRCUIT HIGH
P0B0F,HYBRID EV BATTERY PACK CURRENT SENSOR 2 CIRCUIT PERFORMANCE
P0B10,HYBRID EV BATTERY PACK CURRENT SENSOR 2 CIRCUIT LOW
P0B11,HYBRID EV BATTERY PACK CURRENT SENSOR 2 CIRCUIT HIGH
P0B14,HYBRID EV BATTERY PACK VOLTAGE SENSE B CIRCUIT
P0B37,HIGH VOLTAGE SERVICE DISCONNECT OPEN
P0B3C,HYBRID EV BATTERY VOLTAGE SENSE 1 CIRCUIT PERFORMANCE
P0B3D,HYBRID EV BATTERY VOLTAGE SENSE 1 CIRCUIT LOW
P0B3E,HYBRID EV BATTERY VOLTAGE SENSE 1 CIRCUIT HIGH
P0B41,HYBRID EV BATTERY VOLTAGE SENSE 2 CIRCUIT PERFORMANCE
P0B42,HYBRID EV BATTERY VOLTAGE SENSE 2 CIRCUIT PERFORMANCE
P0B43,HYBRID EV BATTERY VOLTAGE SENSE 2 CIRCUIT PERFORMANCE
P0B46,HYBRID EV BATTERY VOLTAGE SENSE 2 CIRCUIT PERFORMANCE
P0B47,HYBRID EV BATTERY VOLTAGE SENSE 2 CIRCUIT PERFORMANCE
P0B48,HYBRID EV BATTERY VOLTAGE SENSE 2 CIRCUIT PERFORMANCE
P0B4B,HYBRID EV BATTERY VOLTAGE SENSE 2 CIRCUIT PERFORMANCE
P0B4C,HYBRID EV BATTERY VOLTAGE SENSE 2 CIRCUIT PERFORMANCE
P0B4D,HYBRID EV BATTERY VOLTAGE SENSE 2 CIRCUIT PERFORMANCE
P0B50,HYBRID/EV BATTERY VOLTAGE SENSE 5 CIRCUIT PERFORMANCE
P0B51,HYBRID EV BATTERY VOLTAGE SENSE 5 CIRCUIT LOW
P0B52,HYBRID EV BATTERY VOLTAGE SENSE 5 CIRCUIT HIGH
P0B55,HYBRID/EV BATTERY VOLTAGE SENSE 6 CIRCUIT PERFORMANCE
P0B56,HYBRID EV BATTERY VOLTAGE SENSE 6 CIRCUIT LOW
P0B57,HYBRID EV BATTERY VOLTAGE SENSE 6 CIRCUIT HIGH
P0BBD,HYBRID BATTERY PACK VOLTAGE VARIATION EXCEEDED LIMIT
P0BC3,HYBRID EV BATTERY TEMPERATURE SENSOR 5 CIRCUIT PERFORMANCE
P0BC4,HYBRID EV BATTERY TEMPERATURE SENSOR 5 CIRCUIT LOW
P0BC5,HYBRID EV BATTERY TEMPERATURE SENSOR 5 CIRCUIT HIGH
P0C32,HYBRID EV BATTERY COOLING SYSTEM PERFORMANCE
P0C34,HYBRID EV BATTERY TEMPERATURE SENSOR 6 CIRCUIT PERFORMANCE
P0C35,HYBRID EV BATTERY TEMPERATURE SENSOR 6 CIRCUIT LOW
P0C36,HYBRID EV BATTERY TEMPERATURE SENSOR 6 CIRCUIT HIGH
P0C44,HYBRID BATTERY PACK COOLANT INLET TEMPERATURE SENSOR CIRCUIT LOW
P0C45,HYBRID BATTERY PACK COOLANT INLET TEMPERATURE SENSOR CIRCUIT HIGH
P0C77,HV BATTERY SYSTEM PRECHARGE TIME TOO SHORT
P0C78,HYBRID EV BATTERY SYSTEM PRECHARGE TIME TOO LONG
P0CD7,HYBRID BATTERY PACK COOLANT OUTLET TEMPERATURE SENSOR CIRCUIT LOW
P0CD8,HYBRID BATTERY PACK COOLANT OUTLET TEMPERATURE SENSOR CIRCUIT HIGH
P0CF0,HYBRID EV ELECTRONICS COOLANT TEMPERATURE SENSOR CIRCUIT LOW
P0CF1,HYBRID EV ELECTRONICS COOLANT TEMPERATURE SENSOR CIRCUIT HIGH
P0D37,HYBRID EV BATTERY SYSTEM CURRENT HIGH
P0DAF,HYBRID EV BATTERY CELL BALANCING CIRCUIT A RANGE PERFORMANCE
P0DB3,HYBRID EV BATTERY CELL BALANCING CIRCUIT B RANGE PERFORMANCE
P0DB7,HYBRID EV BATTERY CELL BALANCING CIRCUIT C RANGE/PERFORMANCE
P0DBB,HYBRID EV BATTERY CELL BALANCING CIRCUIT D RANGE PERFORMANCE
P0DBF,HYBRID EV BATTERY CELL BALANCING CIRCUIT E RANGE PERFORMANCE
P0DC3,HYBRID EV BATTERY CELL BALANCING CIRCUIT F RANGE PERFORMANCE
P0E2F,HIGH VOLTAGE FUSE B
P0E30,HIGH VOLTAGE FUSE C
P1009,HUMIDITY SENSOR MODULE
P1115,GENERAL TEMPERATURE RATIONALITY
P1128,CLOSED LOOP FUELING NOT ACHIEVED BANK 1 UPSTREAM
P1129,CLOSED LOOP FUELING NOT ACHIEVED BANK 2
P1205,FUEL PUMP CONTROL MODULE INTERNAL PERFORMANCE
P1206,FUEL PUMP CONTROL MODULE OPEN CIRCUIT TO FUEL PUMP
P1239,ENGINE OIL TEMPERATURE TOO LOW
P1276,STARTER CONTROL 2
P1300,CRANKSHAFT POSITION LEARN OUT OF RANGE
P1400,AFTERMARKET CALIBRATION DETECTED/WARRANTY COVERAGE CONFIRMATION REQUIRED
P1405,EVAP SYSTEM LEAK DETECTION PUMP STUCK ON
P1406,EVAP SYSTEM LEAK DETECTION PUMP STUCK OFF
P1495,LEFT FRONT SEATBELT SWITCH CIRCUIT HIGH
P1496,LEFT FRONT SEATBELT SWITCH CIRCUIT LOW
P1524,OIL PRESSURE OUT OF RANGE CAMSHAFT ADVANCE/RETARD DISABLED
P152A,ENGINE HOOD SWITCH AJAR WHILE DRIVING
P152C,ENGINE HOOD SWITCH 2 CIRCUIT RANGE/PERFORMANCE
P152E,ENGINE HOOD SWITCH 2 CIRCUIT HIGH
P152F,ENGINE HOOD SWITCH 2 / ENGINE HOOD SWITCH 1 CORRELATION
P1570,BRAKE PEDAL POSITION SENSOR OUT OF RANGE
P1571,BRAKE PEDAL POSITION SENSOR OUT OF RANGE HIGH
P1572,BRAKE PEDAL STUCK ON
P1573,BRAKE PEDAL STUCK OFF
P1578,BRAKE PEDAL POSITION SENSOR B OUT OF RANGE LOW
P1579,BRAKE PEDAL POSITION SENSOR B OUT OF RANGE HIGH
P1593,SPEED CONTROL SWITCH 1/2
P1609,INTERNAL CONTROL MODULE ENGINE OIL TEMPERATURE PERFORMANCE
P1618,SENSOR REFERENCE VOLTAGE 1 CIRCUIT ERRATIC
P1621,O2 SENSOR REFERENCE VOLTAGE CIRCUIT LOW
P1622,O2 SENSOR REFERENCE VOLTAGE CIRCUIT HIGH
P1628,SENSOR REFERENCE VOLTAGE 2 CIRCUIT ERRATIC
P1666,CRUISE CONTROL MODULE INTERNAL
P167B,CONTROLLED SYSTEM SHUTDOWN
P1696,EEPROM MEMORY WRITE DENIED/INVALID
P1697,EMR (SRI) MILEAGE NOT STORED
P16FA,ENGINE DISABLED NO IMMOBILIZER SIGNAL FROM HCP
P1718,EEPROM INTEGRITY FAILURE
P1A01,BATTERY ENERGY CONTROL MODULE EEPROM FAILURE
P1A05,BATTERY ENERGY CONTROL MODULE RANDOM ACCESS MEMORY RAM
P1A06,BATTERY ENERGY CONTROL MODULE READ ONLY MEMORY ROM
P1A0C,BATTERY ENERGY CONTROL MODULE SYSTEM VOLTAGE LOW
P1A0D,BATTERY ENERGY CONTROL MODULE SYSTEM VOLTAGE HIGH
P1A16,HYBRID EV WAKEUP CONTROL 3 OUTPUT CIRCUIT/OPEN
P1A21,HV BATTERY CONTACTOR CONTROL SEQUENCE INCORRECT
P1A29,CELL SUPERVISORY CIRCUIT A FAILURE
P1A2A,CELL SUPERVISORY CIRCUIT B FAILURE
P1A9A,HYBRID EV BATTERY TEMPERATURE SENSOR 1 OUT OF RANGE LOW
P1A9B,HYBRID EV BATTERY TEMPERATURE SENSOR 1 OUT OF RANGE HIGH
P1A9E,HYBRID EV BATTERY TEMPERATURE SENSOR 2 OUT OF RANGE LOW
P1A9F,HYBRID EV BATTERY TEMPERATURE SENSOR 2 OUT OF RANGE HIGH
P1AA2,HYBRID EV BATTERY TEMPERATURE SENSOR 3 OUT OF RANGE LOW
P1AA3,HYBRID EV BATTERY TEMPERATURE SENSOR 3 OUT OF RANGE HIGH
P1AA6,HYBRID EV BATTERY TEMPERATURE SENSOR 4 OUT OF RANGE LOW
P1AA7,HYBRID EV BATTERY TEMPERATURE SENSOR 4 OUT OF RANGE HIGH
P1AAA,HYBRID EV BATTERY TEMPERATURE SENSOR 5 OUT OF RANGE LOW
P1AAB,HYBRID EV BATTERY TEMPERATURE SENSOR 5 OUT OF RANGE HIGH
P1AAE,HYBRID EV BATTERY TEMPERATURE SENSOR 6 OUT OF RANGE LOW
P1AAF,HYBRID EV BATTERY TEMPERATURE SENSOR 6 OUT OF RANGE HIGH
P1AE2,BATTERY ENERGY CONTROL MODULE HIGH VOLTAGE SYSTEM INTERLOCK CIRCUIT
P1AE3,BATTERY ENERGY CONTROL MODULE HIGH VOLTAGE SYSTEM INTERLOCK CIRCUIT LOW
P1AE4,BATTERY ENERGY CONTROL MODULE HIGH VOLTAGE SYSTEM INTERLOCK CIRCUIT HIGH
P1B13,PARK BY WIRE UNINTENDED OUT OF PARK POSITION
P1B70,HYBRID EV ELECTRONICS COOLANT TEMPERATURE SENSOR A OUT OF RANGE LOW
P1B71,"HYBRID EV ELECTRONICS COOLANT TEMPERATURE SENSOR ""A"" OUT OF RANGE HIGH"
P1C00,HYBRID EV BATTERY VOLTAGE SENSE 1 OUT OF RANGE LOW
P1C01,HYBRID EV BATTERY VOLTAGE SENSE 1 OUT OF RANGE HIGH
P1C02,HYBRID EV BATTERY VOLTAGE SENSE 2 OUT OF RANGE LOW
P1C03,HYBRID EV BATTERY VOLTAGE SENSE 2 OUT OF RANGE HIGH
P1C04,HYBRID EV BATTERY VOLTAGE SENSE 3 OUT OF RANGE LOW
P1C05,HYBRID EV BATTERY VOLTAGE SENSE 3 OUT OF RANGE HIGH
P1C06,HYBRID EV BATTERY VOLTAGE SENSE 4 OUT OF RANGE LOW
P1C07,HYBRID EV BATTERY VOLTAGE SENSE 4 OUT OF RANGE HIGH
P1C08,HYBRID EV BATTERY VOLTAGE SENSE 5 OUT OF RANGE LOW
P1C09,HYBRID EV BATTERY VOLTAGE SENSE 5 OUT OF RANGE HIGH
P1C0A,HYBRID EV BATTERY VOLTAGE SENSE 6 OUT OF RANGE LOW
P1C0B,HYBRID EV BATTERY VOLTAGE SENSE 6 OUT OF RANGE HIGH
P1C4E,FAULT IN ABS/ESP MODULE
P1C86,PRNDL DISPLAY
P1C8B,BATTERY VOLTAGE
P1C8C,SYSTEM VOLTAGE
P1CDB,HYBRID EV WAKEUP CONTROL 1 OUTPUT CIRCUIT SHORT TO BATTERY
P1CDC,HYBRID EV WAKEUP CONTROL 1 OUTPUT CIRCUIT SHORT TO GROUND
P1CF3,BATTERY TEMPERATURE SENSOR OUT OF RANGE LOW
P1CF4,BATTERY TEMPERATURE SENSOR OUT OF RANGE HIGH
P1D0D,EVAP SYSTEM FUEL TANK PRESSURE SENSOR HIGH
P1D0E,EVAP SYSTEM FUEL TANK PRESSURE SENSOR CIRCUIT LOW
P1D3E,INTERNAL CONTROL MODULE SHUT OFF TEST ERROR
P1D43,INTERNAL CONTROL MODULE SHUT OFF TEST MONITORING TIME ERROR
P1D6D,AGS CIRCUIT OVER TEMPERATURE
P1D73,AGS PERFORMANCE
P1D7B,HYBRID EV WAKEUP CONTROL 3 OUTPUT CIRCUIT SHORT TO BATTERY
P1D7C,HYBRID EV WAKEUP CONTROL 3 OUTPUT CIRCUIT SHORT TO GROUND
P1D83,IMPLAUSIBLE ENGINE OIL TEMPERATURE SIGNAL RECEIVED
P1DBD,FUEL PRESSURE SENSOR RATIONALITY
P1E08,STOP/START DISABLED AIRBAG DEPLOYMENT
P1E09,CLOSED LOOP FUELING NOT ACHIEVED BANK 1 DOWNSTREAM
P1E0A,CLOSED LOOP FUELING NOT ACHIEVED BANK 2 DOWNSTREAM
P1E1B,HYBRID EV BATTERY SIDE VOLTAGE SYSTEM ISOLATION
P1E1D,CONTROL MODULE IMPROPER WAKE UP PERFORMANCE
P1E71,BATTERY PACK CURRENT SENSOR B OUT OF RANGE LOW
P1E72,BATTERY PACK CURRENT SENSOR B OUT OF RANGE HIGH
P1E73,HIGH VOLTAGE SYSTEM INTERLOCK OUT OF RANGE LOW
P1E74,HIGH VOLTAGE SYSTEM INTERLOCK OUT OF RANGE HIGH
P1E75,BATTERY ENERGY CONTROL MODULE HIGH VOLTAGE SYSTEM INTERLOCK OUT OF RANGE LOW
P1E76,BATTERY ENERGY CONTROL MODULE HIGH VOLTAGE SYSTEM INTERLOCK OUT OF RANGE HIGH
P1E77,HYBRID BATTERY PACK COOLANT INLET TEMPERATURE SENSOR OUT OF RANGE LOW
P1E78,HYBRID BATTERY PACK COOLANT INLET TEMPERATURE SENSOR OUT OF RANGE HIGH
P1E79,HYBRID BATTERY PACK COOLANT OUTLET TEMPERATURE SENSOR OUT OF RANGE LOW
P1E7A,HYBRID BATTERY PACK COOLANT OUTLET TEMPERATURE SENSOR OUT OF RANGE HIGH
P2072,ELECTRONIC THROTTLE CONTROL SYSTEM ICE BLOCKAGE
P2096,DOWNSTREAM FUEL TRIM SYSTEM 1 LEAN
P2097,DOWNSTREAM FUEL TRIM SYSTEM 1 RICH
P2098,DOWNSTREAM FUEL TRIM SYSTEM 2 LEAN
P2099,DOWNSTREAM FUEL TRIM SYSTEM 2 RICH
P2100,ELECTRONIC THROTTLE CONTROL MOTOR CIRCUIT
P2101,ELECTRONIC THROTTLE CONTROL MOTOR PERFORMANCE
P2107,ELECTRONIC THROTTLE CONTROL MODULE PROCESSOR
P2110,ELECTRONIC THROTTLE CONTROL FORCED LIMITED RPM
P2111,ELECTRONIC THROTTLE CONTROL UNABLE TO CLOSE
P2112,ELECTRONIC THROTTLE CONTROL UNABLE TO OPEN
P2115,ACCELERATOR PEDAL POSITION SENSOR 1 MINIMUM STOP PERFORMANCE
P2116,ACCELERATOR PEDAL POSITION SENSOR 2 MINIMUM STOP PERFORMANCE
P2118,ELECTRONIC THROTTLE CONTROL MOTOR CURRENT PERFORMANCE
P2122,ACCELERATOR PEDAL POSITION SENSOR 1 CIRCUIT LOW
P2123,ACCELERATOR PEDAL POSITION SENSOR 1 CIRCUIT HIGH
P2127,ACCELERATOR PEDAL POSITION SENSOR 2 CIRCUIT LOW
P2128,ACCELERATOR PEDAL POSITION SENSOR 2 CIRCUIT HIGH
P2135,THROTTLE POSITION SENSOR 1/2 CORRELATION
P2138,ACCELERATOR PEDAL POSITION SENSOR 1/2 CORRELATION
P2166,ACCELERATOR PEDAL POSITION SENSOR 1 MAXIMUM STOP PERFORMANCE
P2167,ACCELERATOR PEDAL POSITION SENSOR 2 MAXIMUM STOP PERFORMANCE
P2172,HIGH AIRFLOW/VACUUM LEAK DETECTED (INSTANTANEOUS ACCUMULATION)
P2173,HIGH AIRFLOW/VACUUM LEAK DETECTED (SLOW ACCUMULATION)
P2174,LOW AIRFLOW/RESTRICTION DETECTED (INSTANTANEOUS ACCUMULATION)
P2181,COOLING SYSTEM PERFORMANCE
P219A,AIR - FUEL RATIO CYLINDER IMBALANCE BANK 1
P219B,AIR-FUEL RATIO CYLINDER IMBALANCE BANK 1 FUEL RATIO CYLINDER IMBALANCE BANK 2
P2271,O2 SENSOR 1/2 SIGNAL BIASED RICH
P2273,O2 SENSOR 2/2 SIGNAL STUCK RICH
P2299,BRAKE PEDAL POSITION / ACCELERATOR PEDAL POSITION INCOMPATIBLE
P2302,IGNITION COIL 1 SECONDARY CIRCUIT INSUFFICIENT IONIZATION
P2305,IGNITION COIL 2 SECONDARY CIRCUIT INSUFFICIENT IONIZATION
P2308,IGNITION COIL 3 SECONDARY CIRCUIT INSUFFICIENT IONIZATION
P2311,IGNITION COIL 4 SECONDARY CIRCUIT INSUFFICIENT IONIZATION
P2314,IGNITION COIL 5 SECONDARY CIRCUIT INSUFFICIENT IONIZATION
P2317,IGNITION COIL 6 SECONDARY CIRCUIT INSUFFICIENT IONIZATION
P2400,EVAPORATIVE EMISSION SYSTEM LEAK DETECTION PUMP CONTROL CIRCUIT/OPEN
P2401,EVAPORATIVE EMISSION SYSTEM LEAK DETECTION PUMP CONTROL CIRCUIT LOW
P2402,EVAPORATIVE EMISSION SYSTEM LEAK DETECTION PUMP CONTROL CIRCUIT HIGH
P2418,FUEL TANK ISOLATION VALVE CIRCUIT
P2419,FUEL TANK ISOLATION VALVE CIRCUIT LOW
P2420,FUEL TANK ISOLATION VALVE CIRCUIT HIGH
P2450,FUEL TANK ISOLATION VALVE STUCK OPEN
P2451,FUEL TANK ISOLATION VALVE STUCK CLOSED
P24B9,EVAP SYSTEM LEAK DETECTION PUMP PRESSURE SENSOR CIRCUIT RANGE/PERFORMANCE
P24BA,EVAP SYSTEM LEAK DETECTION PUMP PRESSURE SENSOR CIRCUIT LOW
P24BB,EVAP SYSTEM LEAK DETECTION PUMP PRESSURE SENSOR CIRCUIT HIGH
P24BD,EVAP SYSTEM LEAK DETECTION PUMP VACUUM SWITCHING VALVE CONTROL CIRCUIT/OPEN
P24BE,EVAP SYSTEM LEAK DETECTION PUMP VACUUM SWITCHING VALVE CONTROL CIRCUIT LOW
P24BF,EVAP SYSTEM LEAK DETECTION PUMP VACUUM SWITCHING VALVE CONTROL CIRCUIT HIGH
P24C0,EVAP SYSTEM LEAK DETECTION PUMP VACUUM SWITCHING VALVE STUCK ON
P24C1,EVAP SYSTEM LEAK DETECTION PUMP VACUUM SWITCHING VALVE PERFORMANCE/STUCK OFF
P24F0,CONTROL MODULE WAKE UP CIRCUIT LOW
P257D,ENGINE HOOD SWITCH CIRCUIT PERFORMANCE
P257E,ENGINE HOOD SWITCH CIRCUIT LOW
P257F,ENGINE HOOD SWITCH CIRCUIT HIGH
P25C6,BRAKE BOOSTER TEMPERATURE SENSOR A CIRCUIT LOW
P25C7,BRAKE BOOSTER TEMPERATURE SENSOR A CIRCUIT HIGH
P2610,PCM INTERNAL ENGINE OFF TIMER PERFORMANCE
P2BC9,BATTERY CHARGING SYSTEM POSITIVE CONTACTOR B CONTROL CIRCUIT LOW
P2BCA,BATTERY CHARGING SYSTEM POSITIVE CONTACTOR B CONTROL CIRCUIT HIGH
P2BD0,BATTERY CHARGING SYSTEM NEGATIVE CONTACTOR B CONTROL CIRCUIT LOW
P2BD1,BATTERY CHARGING SYSTEM NEGATIVE CONTACTOR B CONTROL CIRCUIT HIGH
P2BE5,HYBRID/EV BATTERY PACK CURRENT SENSOR C CIRCUIT RANGE/PERFORMANCE
P2BE6,HYBRID EV BATTERY PACK CURRENT SENSOR C LOW
P2BE7,HYBRID EV BATTERY PACK CURRENT SENSOR C HIGH
P2BEA,HYBRID EV BATTERY PRECHARGE CONTACTOR CONTROL CIRCUIT B LOW
P2BEB,HYBRID EV BATTERY PRECHARGE CONTACTOR CONTROL CIRCUIT B HIGH
P3074,EVAP SYSTEM PRESSURE SENSOR/ SWITCH RATIONALITY
U0001,CAN C BUS
U0002,CAN C BUS OFF PERFORMANCE
U0009,HIGH SPEED CAN COMMUNICATION BUS (-) SHORTED TO BUS (+)
U0010,CAN INTERIOR BUS
U0011,CAN INTERIOR BUS OFF PERFORMANCE
U0074,DEDICATED POWERTRAIN (D-PT) CAN BUS OFF
U0100,LOST COMMUNICATION WITH ECM/PCM
U0101,LOST COMMUNICATION WITH TCM
U0102,LOST COMMUNICATION WITH TRANSFER CASE CONTROL MODULE / AWD
U0104,LOST COMMUNICATION WITH CRUISE CONTROL MODULE
U0109,LOST COMMUNICATION WITH FUEL PUMP CONTROL MODULE
U0111,LOST COMMUNICATION WITH HYBRID BATTERY PACK SENSOR MODULE
U0121,LOST COMMUNICATION WITH ANTI LOCK BRAKE SYSTEM (ABS) CONTROL MODULE
U0129,LOST COMMUNICATION WITH BRAKE SYSTEM CONTROL MODULE
U0131,LOST COMMUNICATION WITH ELECTRIC POWER STEERING CONTROL MODULE
U0132,LOST COMMUNICATION WITH SUSPENSION CONTROL MODULE
U0140,LOST COMMUNICATION WITH BODY CONTROL MODULE
U0151,LOST COMMUNICATION WITH OCCUPANT RESTRAINT CONTROLLER (ORC)
U0155,LOST COMMUNICATION WITH CLUSTER-CCN
U0159,LOST COMMUNICATION WITH PARKING ASSIST CONTROL MODULE (PAM)
U0164,LOST COMMUNICATION WITH HVAC CONTROL MODULE
U0167,LOST COMMUNICATION WITH INTRUSION TRANSCEIVER CONTROL MODULE
U0168,LOST COMMUNICATION WITH VEHICLE SECURITY CONTROL MODULE
U017E,LOST COMMUNICATION WITH SEATBELT SENSOR 1
U0182,LOST COMMUNICATION WITH ADAPTIVE FRONT LIGHTING CONTROL MODULE
U0184,LOST COMMUNICATION WITH RADIO
U0199,LOST COMMUNICATION WITH DRIVER DOOR MODULE
U0200,LOST COMMUNICATION WITH PASSENGER DOOR MODULE
U0209,LOST COMMUNICATION WITH MEMORY SEAT CONTROL MODULE
U0210,LOST COMMUNICATION WITH PASSENGER MEMORY SEAT MODULE
U0212,LOST COMMUNICATION WITH SCM
U0213,LOST COMMUNICATION WITH INTERIOR MIRROR CONTROL MODULE
U0230,LOST COMMUNICATION WITH POWER LIFTGATE MODULE
U0231,LOST COMMUNICATION WITH LIGHT RAIN SENSING MODULE
U0232,LOST COMMUNICATION WITH BLIND SPOT DETECTION MODULE
U0241,LOST COMMUNICATION WITH AUTO HIGHBEAM HEADLAMP CONTROL MODULE
U0264,LOST COMMUNICATION WITH CAMERA MODULE REAR
U0293,LOST COMMUNICATION WITH HYBRID CONTROL MODULE
U029A,LOST COMMUNICATION WITH HYBRID BATTERY PACK SENSOR MODULE
U0300,INTERNAL CONTROL MODULE SOFTWARE INCOMPATIBLE
U0401,IMPLAUSIBLE DATA RECEIVED FROM ECM/PCM
U0402,IMPLAUSIBLE DATA RECEIVED FROM TCM
U0403,IMPLAUSIBLE DATA RECEIVED FROM TCASE
U0405,INVALID DATA RECEIVED FROM CRUISE CONTROL MODULE
U0412,"INVALID DATA RECEIVED FROM BATTERY ENERGY CONTROL MODULE ""A"""
U0415,IMPLAUSIBLE DATA RECEIVED FROM ABS
U0416,IMPLAUSIBLE DATA RECEIVED FROM ESP
U0417,IMPLAUSIBLE DATA RECEIVED FROM PARK BRAKE CONTROL MODULE
U0418,IMPLAUSIBLE DATA RECEIVED FROM BRAKE SYSTEM CONTROL MODULE
U0420,INVALID DATA RECEIVED FROM POWER STEERING CONTROL MODULE
U0421,IMPLAUSIBLE DATA RECEIVED FROM SUSPENSION CONTROL MODULE
U0422,IMPLAUSIBLE DATA RECEIVED FROM BODY CONTROL MODULE
U0423,IMPLAUSIBLE DATA RECEIVED FROM CLUSTER-CCN
